Period,Tick,NLV
1,1,0
1,2,0
1,3,0
1,4,0
1,5,0
1,6,0
1,7,0
1,8,0
1,9,0
1,10,0
1,11,0
1,12,0
1,13,0
1,14,0
1,15,0
1,16,0
1,17,0
1,18,0
1,19,0
1,20,0
1,21,0
1,22,0
1,23,0
1,24,0
1,25,0
1,26,0
1,27,0
1,28,0
1,29,0
1,30,0
1,31,0
1,32,0
1,33,0
1,34,0
1,35,0
1,36,0
1,37,0
1,38,0
1,39,0
1,40,0
1,41,0
1,42,0
1,43,0
1,44,0
1,45,0
1,46,0
1,47,0
1,48,0
1,49,0
1,50,0
1,51,0
1,52,0
1,53,0
1,54,0
1,55,0
1,56,0
1,57,0
1,58,0
1,59,0
1,60,0
1,61,0
1,62,0
1,63,0
1,64,0
1,65,0
1,66,0
1,67,0
1,68,0
1,69,0
1,70,0
1,71,0
1,72,0
1,73,0
1,74,0
1,75,0
1,76,0
1,77,0
1,78,17520
1,79,10725
1,80,10165
1,81,10225
1,82,10005
1,83,10145
1,84,10025
1,85,10025
1,86,10125
1,87,10025
1,88,10025
1,89,9945
1,90,9945
1,91,9945
1,92,9905
1,93,9865
1,94,9865
1,95,9925
1,96,9865
1,97,9865
1,98,9865
1,99,9865
1,100,9885
1,101,9905
1,102,9905
1,103,10045
1,104,9985
1,105,9985
1,106,9985
1,107,10145
1,108,10145
1,109,9985
1,110,9985
1,111,9985
1,112,10165
1,113,10165
1,114,10165
1,115,10265
1,116,10165
1,117,10165
1,118,10325
1,119,10325
1,120,10365
1,121,10365
1,122,10445
1,123,10465
1,124,10505
1,125,10505
1,126,10525
1,127,10365
1,128,10445
1,129,10365
1,130,10465
1,131,10565
1,132,10565
1,133,10565
1,134,10565
1,135,10465
1,136,10465
1,137,10465
1,138,10525
1,139,10525
1,140,10465
1,141,10425
1,142,10505
1,143,10425
1,144,10485
1,145,10485
1,146,10485
1,147,28735
1,148,20367
1,149,-8785
1,150,-17592
1,151,-17592
1,152,-17412
1,153,-17392
1,154,-17192
1,155,-17192
1,156,-17392
1,157,-17392
1,158,-17392
1,159,-17372
1,160,-17332
1,161,-17132
1,162,-17132
1,163,-17132
1,164,-17132
1,165,-17232
1,166,-17232
1,167,-17272
1,168,-17272
1,169,-17272
1,170,-17212
1,171,-17132
1,172,-17132
1,173,-17132
1,174,-17132
1,175,-17172
1,176,-17172
1,177,-17212
1,178,-17172
1,179,-17172
1,180,-17212
1,181,-17212
1,182,-17152
1,183,-17152
1,184,-17152
1,185,-17152
1,186,-17152
1,187,-17152
1,188,-17152
1,189,-17212
1,190,-17212
1,191,-17212
1,192,-17212
1,193,-17132
1,194,-17132
1,195,-17132
1,196,-17132
1,197,-17132
1,198,-17132
1,199,-17132
1,200,-17132
1,201,-17132
1,202,-17132
1,203,-17132
1,204,-17132
1,205,-17092
1,206,-17092
1,207,-17092
1,208,-17032
1,209,-17032
1,210,-17032
1,211,-16992
1,212,-16992
1,213,-16932
1,214,-16912
1,215,-16912
1,216,-16832
1,217,-16832
1,218,-16832
1,219,-16832
1,220,-16832
1,221,-16832
1,222,-16832
1,223,-16792
1,224,-16792
1,225,-16792
1,226,-16792
1,227,-16812
1,228,-16752
1,229,-16752
1,230,-16812
1,231,-16812
1,232,-16812
1,233,-16832
1,234,-16832
1,235,-16832
1,236,-16832
1,237,-16832
1,238,-16832
1,239,-16832
1,240,-16812
1,241,-16832
1,242,-16832
1,243,-16712
1,244,-16712
1,245,-16712
1,246,-16712
1,247,-16832
1,248,-16852
1,249,-16852
1,250,-16852
1,251,-16872
1,252,-16892
1,253,-16912
1,254,-16912
1,255,-16892
1,256,-16912
1,257,-16912
1,258,-16912
1,259,-16912
1,260,-16952
1,261,-16952
1,262,-10452
1,263,-15303
1,264,-15303
1,265,-15303
1,266,-15303
1,267,-15303
1,268,-15303
1,269,-15303
1,270,-15303
1,271,-15303
1,272,-15303
1,273,-15303
1,274,-15303
1,275,-15303
1,276,-15303
1,277,-15303
1,278,-15303
1,279,-15303
1,280,-15303
1,281,-15303
1,282,-15303
1,283,-15303
1,284,-15303
1,285,-15303
1,286,-15303
1,287,-15303
1,288,-15303
1,289,-15303
1,290,-15303
1,291,-15303
1,292,-15303
1,293,-15303
1,294,-15303
1,295,-15303
1,296,-15303
1,297,-15303
1,298,-15303
1,299,-15303
1,300,-15303
