Period,Tick,NLV
1,1,0
1,2,0
1,3,0
1,4,0
1,5,0
1,6,0
1,7,0
1,8,0
1,9,0
1,10,0
1,11,0
1,12,0
1,13,0
1,14,0
1,15,0
1,16,0
1,17,19140
1,18,-3706
1,19,-22490
1,20,-34099
1,21,-53374
1,22,-53374
1,23,-53374
1,24,-53374
1,25,-53374
1,26,-53374
1,27,-53374
1,28,-53374
1,29,-53374
1,30,-53374
1,31,-53374
1,32,-53374
1,33,-53374
1,34,-53374
1,35,-53374
1,36,-53374
1,37,-53374
1,38,-53374
1,39,-53374
1,40,-53374
1,41,-53374
1,42,-53374
1,43,-53374
1,44,-53374
1,45,-53374
1,46,-53374
1,47,-53374
1,48,-53374
1,49,-53374
1,50,-53374
1,51,-53374
1,52,-53374
1,53,-53374
1,54,-53374
1,55,-53374
1,56,-53374
1,57,-53374
1,58,-53374
1,59,-53374
1,60,-53374
1,61,-53374
1,62,-53374
1,63,-53374
1,64,-53374
1,65,-53374
1,66,-53374
1,67,-53374
1,68,-53374
1,69,-53374
1,70,-53374
1,71,-53374
1,72,-53374
1,73,-53374
1,74,-53374
1,75,-53374
1,76,-53374
1,77,-53374
1,78,-53374
1,79,-53374
1,80,-53374
1,81,-53374
1,82,-53374
1,83,-53374
1,84,-53374
1,85,-53374
1,86,-53374
1,87,-53374
1,88,-53374
1,89,-53374
1,90,-53374
1,91,-53374
1,92,-53374
1,93,-53374
1,94,-53374
1,95,-53374
1,96,-53374
1,97,-53374
1,98,-53374
1,99,-53374
1,100,-53374
1,101,-53374
1,102,-53374
1,103,-53374
1,104,-53374
1,105,-53374
1,106,-53374
1,107,-53374
1,108,-53374
1,109,-53374
1,110,-53374
1,111,-53374
1,112,-53374
1,113,-53374
1,114,-53374
1,115,-53374
1,116,-53374
1,117,-53374
1,118,-53374
1,119,-53374
1,120,-53374
1,121,-53374
1,122,-53374
1,123,-53374
1,124,-53374
1,125,-53374
1,126,-53374
1,127,-53374
1,128,-53374
1,129,-53374
1,130,-53374
1,131,-53374
1,132,-53374
1,133,-53374
1,134,-53374
1,135,-53374
1,136,-53374
1,137,-53374
1,138,-53374
1,139,-53374
1,140,-53374
1,141,-53374
1,142,-53374
1,143,-53374
1,144,-53374
1,145,-53374
1,146,-53374
1,147,-53374
1,148,-53374
1,149,-53374
1,150,-53374
1,151,-53374
1,152,-53374
1,153,-53374
1,154,-53374
1,155,-53374
1,156,-53374
1,157,-53374
1,158,-53374
1,159,-53374
1,160,-53374
1,161,-53374
1,162,-53374
1,163,-53374
1,164,-53374
1,165,-53374
1,166,-53374
1,167,-53374
1,168,-53374
1,169,-53374
1,170,-53374
1,171,-53374
1,172,-53374
1,173,-53374
1,174,-53374
1,175,-53374
1,176,-53374
1,177,-53374
1,178,-53374
1,179,-53374
1,180,-53374
1,181,-53374
1,182,-53374
1,183,-53374
1,184,-53374
1,185,-53374
1,186,-53374
1,187,-53374
1,188,-53374
1,189,-53374
1,190,-53374
1,191,-53374
1,192,-53374
1,193,-53374
1,194,-53374
1,195,-53374
1,196,-53374
1,197,-53374
1,198,-53374
1,199,-53374
1,200,-53374
1,201,-53374
1,202,-53374
1,203,-53374
1,204,-53374
1,205,-53374
1,206,-53374
1,207,-53374
1,208,-53374
1,209,-53374
1,210,-53374
1,211,-53374
1,212,-53374
1,213,-53374
1,214,-53374
1,215,-53374
1,216,-53374
1,217,-53374
1,218,-53374
1,219,-53374
1,220,-53374
1,221,-53374
1,222,-53374
1,223,-53374
1,224,-53374
1,225,-53374
1,226,-53374
1,227,-53374
1,228,-53374
1,229,-53374
1,230,-53374
1,231,-53374
1,232,-53374
1,233,-53374
1,234,-53374
1,235,-53374
1,236,-53374
1,237,-53374
1,238,-53374
1,239,-53374
1,240,-53374
1,241,-53374
1,242,-53374
1,243,-53374
1,244,-53374
1,245,-53374
1,246,-53374
1,247,-53374
1,248,-53374
1,249,-53374
1,250,-53374
1,251,-53374
1,252,-53374
1,253,-53374
1,254,-53374
1,255,-53374
1,256,-53374
1,257,-53374
1,258,-53374
1,259,-53374
1,260,-53374
1,261,-53374
1,262,-53374
1,263,-53374
1,264,-53374
1,265,-53374
1,266,-53374
1,267,-53374
1,268,-53374
1,269,-53374
1,270,-40054
1,271,-50118
1,272,-50118
1,273,-50118
1,274,-50118
1,275,-50118
1,276,-50118
1,277,-50118
1,278,-50118
1,279,-50118
1,280,-50118
1,281,-50118
1,282,-50118
1,283,-50118
1,284,-50118
1,285,-50118
1,286,-50118
1,287,-50118
1,288,-50118
1,289,-50118
1,290,-50118
1,291,-50118
1,292,-50118
1,293,-50118
1,294,-50118
1,295,-50118
1,296,-50118
1,297,-50118
1,298,-50118
1,299,-50118
1,300,-50118
