Period,Tick,NLV
1,1,0
1,2,0
1,3,0
1,4,0
1,5,0
1,6,0
1,7,0
1,8,0
1,9,0
1,10,0
1,11,0
1,12,0
1,13,0
1,14,0
1,15,0
1,16,0
1,17,0
1,18,0
1,19,15000
1,20,6668
1,21,-5176
1,22,-5176
1,23,-5176
1,24,-5176
1,25,-5176
1,26,-5176
1,27,-5176
1,28,-5176
1,29,-5176
1,30,-5176
1,31,-5176
1,32,-5176
1,33,-5176
1,34,-5176
1,35,-5176
1,36,-5176
1,37,-5176
1,38,-5176
1,39,-5176
1,40,-5176
1,41,-5176
1,42,-5176
1,43,-5176
1,44,-5176
1,45,-5176
1,46,-5176
1,47,-5176
1,48,-5176
1,49,-5176
1,50,-5176
1,51,-5176
1,52,-5176
1,53,-5176
1,54,-5176
1,55,-5176
1,56,-5176
1,57,-5176
1,58,-5176
1,59,-5176
1,60,-5176
1,61,-5176
1,62,-5176
1,63,-5176
1,64,-5176
1,65,-5176
1,66,-5176
1,67,-5176
1,68,-5176
1,69,-5176
1,70,-5176
1,71,-5176
1,72,-5176
1,73,-5176
1,74,-5176
1,75,-5176
1,76,-5176
1,77,-5176
1,78,-5176
1,79,-5176
1,80,-5176
1,81,-5176
1,82,-5176
1,83,-5176
1,84,15284
1,85,11805
1,86,6861
1,87,-2210
1,88,-3121
1,89,-3121
1,90,-3121
1,91,-3121
1,92,-3121
1,93,-3121
1,94,-3121
1,95,-3121
1,96,-3121
1,97,-3121
1,98,-3121
1,99,-3121
1,100,-3121
1,101,-3121
1,102,-3121
1,103,-3121
1,104,-3121
1,105,-3121
1,106,-3121
1,107,-3121
1,108,-3121
1,109,-3121
1,110,-3121
1,111,-3121
1,112,-3121
1,113,-3121
1,114,-3121
1,115,-3121
1,116,-3121
1,117,-3121
1,118,-3121
1,119,-3121
1,120,-3121
1,121,-3121
1,122,-3121
1,123,-3121
1,124,-3121
1,125,-3121
1,126,-3121
1,127,-3121
1,128,-3121
1,129,-3121
1,130,-3121
1,131,-3121
1,132,-3121
1,133,-3121
1,134,-3121
1,135,-3121
1,136,-3121
1,137,-3121
1,138,-3121
1,139,-3121
1,140,-3121
1,141,-3121
1,142,-3121
1,143,-3121
1,144,-3121
1,145,-3121
1,146,-3121
1,147,-3121
1,148,-3121
1,149,-3121
1,150,-3121
1,151,-3121
1,152,-3121
1,153,-3121
1,154,-3121
1,155,-3121
1,156,-3121
1,157,-3121
1,158,-3121
1,159,-3121
1,160,-3121
1,161,-3121
1,162,-3121
1,163,-3121
1,164,-3121
1,165,-3121
1,166,-3121
1,167,-3121
1,168,-3121
1,169,-3121
1,170,-3121
1,171,-3121
1,172,-3121
1,173,-3121
1,174,-3121
1,175,-3121
1,176,-3121
1,177,-3121
1,178,-3121
1,179,-3121
1,180,-3121
1,181,-3121
1,182,-3121
1,183,-3121
1,184,-3121
1,185,-3121
1,186,-3121
1,187,-3121
1,188,-3121
1,189,-3121
1,190,-3121
1,191,-3121
1,192,-3121
1,193,-3121
1,194,-3121
1,195,-3121
1,196,-3121
1,197,-3121
1,198,-3121
1,199,-3121
1,200,-3121
1,201,-3121
1,202,-3121
1,203,-3121
1,204,-3121
1,205,-3121
1,206,-3121
1,207,-3121
1,208,-3121
1,209,-3121
1,210,5879
1,211,-12034
1,212,-13978
1,213,-13978
1,214,-13978
1,215,-13978
1,216,-13978
1,217,-13978
1,218,-13978
1,219,-13978
1,220,-13978
1,221,-13978
1,222,-13978
1,223,-13978
1,224,-13978
1,225,-13978
1,226,-13978
1,227,-13978
1,228,-13978
1,229,-13978
1,230,-13978
1,231,-13978
1,232,-13978
1,233,-13978
1,234,-13978
1,235,-13978
1,236,-13978
1,237,-13978
1,238,-13978
1,239,-13978
1,240,-13978
1,241,-13978
1,242,-13978
1,243,-13978
1,244,-13978
1,245,-13978
1,246,-13978
1,247,-13978
1,248,-13978
1,249,-13978
1,250,-13978
1,251,-13978
1,252,-13978
1,253,-13978
1,254,-13978
1,255,-13978
1,256,-13978
1,257,-13978
1,258,-13978
1,259,-13978
1,260,-13978
1,261,-13978
1,262,-13978
1,263,-13978
1,264,-13978
1,265,-13978
1,266,-13978
1,267,-13978
1,268,-13978
1,269,-13978
1,270,-13978
1,271,-13978
1,272,-13978
1,273,-13978
1,274,-13978
1,275,-13978
1,276,-13978
1,277,-13978
1,278,-13978
1,279,-13978
1,280,-13978
1,281,-13978
1,282,-13978
1,283,-13978
1,284,-13978
1,285,-13978
1,286,-13978
1,287,-13978
1,288,-13978
1,289,-13978
1,290,-13978
1,291,-13978
1,292,-13978
1,293,-13978
1,294,-13978
1,295,-13978
1,296,-13978
1,297,-13978
1,298,-13978
1,299,-13978
1,300,-13978
