Period,Tick,NLV
1,1,0
1,2,0
1,3,0
1,4,0
1,5,0
1,6,0
1,7,0
1,8,0
1,9,0
1,10,0
1,11,0
1,12,0
1,13,0
1,14,0
1,15,0
1,16,0
1,17,0
1,18,19440
1,19,10331.02
1,20,10331.02
1,21,10331.02
1,22,10366.91
1,23,10366.91
1,24,10366.91
1,25,10618.14
1,26,10618.14
1,27,10869.37
1,28,10869.37
1,29,10869.37
1,30,10869.37
1,31,10869.37
1,32,10869.37
1,33,10869.37
1,34,10869.37
1,35,10869.37
1,36,10869.37
1,37,10869.37
1,38,10869.37
1,39,10869.37
1,40,10869.37
1,41,10869.37
1,42,10869.37
1,43,10869.37
1,44,10869.37
1,45,10869.37
1,46,10869.37
1,47,10869.37
1,48,10869.37
1,49,10869.37
1,50,10869.37
1,51,10869.37
1,52,10869.37
1,53,10869.37
1,54,10869.37
1,55,10869.37
1,56,10869.37
1,57,10869.37
1,58,10869.37
1,59,10869.37
1,60,10869.37
1,61,10869.37
1,62,10869.37
1,63,10869.37
1,64,10869.37
1,65,10869.37
1,66,10869.37
1,67,10869.37
1,68,10869.37
1,69,10869.37
1,70,10869.37
1,71,10869.37
1,72,10869.37
1,73,10869.37
1,74,10869.37
1,75,10869.37
1,76,10869.37
1,77,10869.37
1,78,10869.37
1,79,10869.37
1,80,10869.37
1,81,20769.37
1,82,16323.17
1,83,16323.17
1,84,16323.17
1,85,16323.17
1,86,16323.17
1,87,16323.17
1,88,15057.17
1,89,15057.17
1,90,15057.17
1,91,12579.17
1,92,12155.87
1,93,12028.77
1,94,12028.77
1,95,12028.77
1,96,11901.67
1,97,11901.67
1,98,11774.57
1,99,11774.57
1,100,11774.57
1,101,10757.77
1,102,10376.47
1,103,10376.47
1,104,10376.47
1,105,9232.57
1,106,9740.97
1,107,10884.87
1,108,10884.87
1,109,9740.97
1,110,10503.57
1,111,10503.57
1,112,10503.57
1,113,10503.57
1,114,11266.17
1,115,11266.17
1,116,11266.17
1,117,11266.17
1,118,11139.07
1,119,11139.07
1,120,10884.87
1,121,10630.67
1,122,10630.67
1,123,10630.67
1,124,10630.67
1,125,11011.97
1,126,11011.97
1,127,11011.97
1,128,11011.97
1,129,11139.07
1,130,11393.27
1,131,11393.27
1,132,11901.67
1,133,11393.27
1,134,11266.17
1,135,11266.17
1,136,11266.17
1,137,11266.17
1,138,11266.17
1,139,10959.87
1,140,10959.87
1,141,10959.87
1,142,10959.87
1,143,10959.87
1,144,10959.87
1,145,10959.87
1,146,23369.87
1,147,19129.15
1,148,16861.15
1,149,16861.15
1,150,15291.86
1,151,14800.16
1,152,14800.16
1,153,14800.16
1,154,14800.16
1,155,14800.16
1,156,14800.16
1,157,14800.16
1,158,14800.16
1,159,14800.16
1,160,14800.16
1,161,14800.16
1,162,14800.16
1,163,14800.16
1,164,14800.16
1,165,14800.16
1,166,14800.16
1,167,14800.16
1,168,14800.16
1,169,14800.16
1,170,14800.16
1,171,14800.16
1,172,14800.16
1,173,14800.16
1,174,14800.16
1,175,14800.16
1,176,14800.16
1,177,14800.16
1,178,14800.16
1,179,14800.16
1,180,14800.16
1,181,14800.16
1,182,14800.16
1,183,14800.16
1,184,14800.16
1,185,14800.16
1,186,14800.16
1,187,14800.16
1,188,14800.16
1,189,14800.16
1,190,14800.16
1,191,14800.16
1,192,14800.16
1,193,14800.16
1,194,14800.16
1,195,14800.16
1,196,14800.16
1,197,14800.16
1,198,14800.16
1,199,14800.16
1,200,14800.16
1,201,14800.16
1,202,14800.16
1,203,14800.16
1,204,14800.16
1,205,14800.16
1,206,14800.16
1,207,14800.16
1,208,14800.16
1,209,14800.16
1,210,14800.16
1,211,14800.16
1,212,14800.16
1,213,14800.16
1,214,14800.16
1,215,14800.16
1,216,14800.16
1,217,14800.16
1,218,14800.16
1,219,14800.16
1,220,14800.16
1,221,14800.16
1,222,14800.16
1,223,14800.16
1,224,14800.16
1,225,14800.16
1,226,14800.16
1,227,14800.16
1,228,14800.16
1,229,14800.16
1,230,14800.16
1,231,14800.16
1,232,14800.16
1,233,14800.16
1,234,14800.16
1,235,14800.16
1,236,14800.16
1,237,14800.16
1,238,14800.16
1,239,14800.16
1,240,14800.16
1,241,14800.16
1,242,14800.16
1,243,14800.16
1,244,14800.16
1,245,14800.16
1,246,14800.16
1,247,14800.16
1,248,14800.16
1,249,14800.16
1,250,14800.16
1,251,14800.16
1,252,14800.16
1,253,14800.16
1,254,14800.16
1,255,14800.16
1,256,14800.16
1,257,14800.16
1,258,14800.16
1,259,14800.16
1,260,14800.16
1,261,14800.16
1,262,14800.16
1,263,14800.16
1,264,14800.16
1,265,14800.16
1,266,14800.16
1,267,32560.16
1,268,28850.16
1,269,28269.61
1,270,28269.61
1,271,28269.61
1,272,28269.61
1,273,28269.61
1,274,28269.61
1,275,28269.61
1,276,28269.61
1,277,28269.61
1,278,28269.61
1,279,28269.61
1,280,28269.61
1,281,28269.61
1,282,28269.61
1,283,28269.61
1,284,28269.61
1,285,28269.61
1,286,28269.61
1,287,28269.61
1,288,28269.61
1,289,28269.61
1,290,28269.61
1,291,28269.61
1,292,28269.61
1,293,28269.61
1,294,28269.61
1,295,28269.61
1,296,28269.61
1,297,28269.61
1,298,28269.61
1,299,28269.61
1,300,28269.61
