Period,Tick,NLV
1,1,0
1,2,0
1,3,0
1,4,0
1,5,0
1,6,0
1,7,0
1,8,0
1,9,0
1,10,0
1,11,0
1,12,0
1,13,0
1,14,0
1,15,0
1,16,0
1,17,0
1,18,0
1,19,0
1,20,0
1,21,0
1,22,0
1,23,0
1,24,10800
1,25,4642
1,26,4560.57
1,27,4633.38
1,28,3623.18
1,29,3623.18
1,30,1606.3
1,31,1522.19
1,32,1522.19
1,33,1522.19
1,34,1522.19
1,35,1522.19
1,36,1522.19
1,37,1101.64
1,38,1101.64
1,39,1017.53
1,40,849.31
1,41,849.31
1,42,596.98
1,43,512.87
1,44,512.87
1,45,221.32
1,46,221.32
1,47,221.32
1,48,221.32
1,49,221.32
1,50,221.32
1,51,221.32
1,52,221.32
1,53,221.32
1,54,221.32
1,55,221.32
1,56,221.32
1,57,221.32
1,58,221.32
1,59,221.32
1,60,221.32
1,61,221.32
1,62,221.32
1,63,221.32
1,64,221.32
1,65,221.32
1,66,221.32
1,67,221.32
1,68,221.32
1,69,221.32
1,70,221.32
1,71,221.32
1,72,221.32
1,73,221.32
1,74,221.32
1,75,221.32
1,76,221.32
1,77,221.32
1,78,16721.32
1,79,12731.12
1,80,11865.22
1,81,9639.22
1,82,5607.22
1,83,3675.22
1,84,-440.78
1,85,-2792.78
1,86,-3253.88
1,87,-3253.88
1,88,-3630.98
1,89,-3630.98
1,90,-4008.08
1,91,-4008.08
1,92,-4008.08
1,93,-3630.98
1,94,-2499.68
1,95,-4008.08
1,96,-3630.98
1,97,-4008.08
1,98,-3253.88
1,99,-4385.18
1,100,-4385.18
1,101,-3253.88
1,102,-4008.08
1,103,-4008.08
1,104,-4008.08
1,105,-2499.68
1,106,-2499.68
1,107,-2876.78
1,108,-4008.08
1,109,-4705.18
1,110,-4323.88
1,111,-4323.88
1,112,-4450.98
1,113,-4450.98
1,114,-4705.18
1,115,-4705.18
1,116,-5040.48
1,117,-5040.48
1,118,-5040.48
1,119,-5040.48
1,120,-5040.48
1,121,-5040.48
1,122,-5040.48
1,123,-5040.48
1,124,-5040.48
1,125,-5040.48
1,126,-5040.48
1,127,-5040.48
1,128,-5040.48
1,129,-5040.48
1,130,-5040.48
1,131,-5040.48
1,132,-5040.48
1,133,-5040.48
1,134,-5040.48
1,135,-5040.48
1,136,-5040.48
1,137,-5040.48
1,138,-5040.48
1,139,-5040.48
1,140,-5040.48
1,141,-5040.48
1,142,-5040.48
1,143,-5040.48
1,144,-5040.48
1,145,-5040.48
1,146,9699.52
1,147,3142.52
1,148,2595.52
1,149,2595.52
1,150,2595.52
1,151,2595.52
1,152,2595.52
1,153,2595.52
1,154,2595.52
1,155,2595.52
1,156,2595.52
1,157,2595.52
1,158,2595.52
1,159,2595.52
1,160,2595.52
1,161,2595.52
1,162,2595.52
1,163,2595.52
1,164,2595.52
1,165,2595.52
1,166,2595.52
1,167,2595.52
1,168,2595.52
1,169,2595.52
1,170,2595.52
1,171,2595.52
1,172,2595.52
1,173,2595.52
1,174,2595.52
1,175,2595.52
1,176,2595.52
1,177,2595.52
1,178,2595.52
1,179,2595.52
1,180,2595.52
1,181,2595.52
1,182,2595.52
1,183,2595.52
1,184,2595.52
1,185,2595.52
1,186,2595.52
1,187,2595.52
1,188,2595.52
1,189,2595.52
1,190,2595.52
1,191,2595.52
1,192,2595.52
1,193,2595.52
1,194,2595.52
1,195,2595.52
1,196,2595.52
1,197,2595.52
1,198,2595.52
1,199,2595.52
1,200,2595.52
1,201,2595.52
1,202,2595.52
1,203,2595.52
1,204,2595.52
1,205,2595.52
1,206,2595.52
1,207,2595.52
1,208,2595.52
1,209,2595.52
1,210,2595.52
1,211,2595.52
1,212,2595.52
1,213,2595.52
1,214,2595.52
1,215,2595.52
1,216,2595.52
1,217,2595.52
1,218,2595.52
1,219,2595.52
1,220,2595.52
1,221,2595.52
1,222,2595.52
1,223,2595.52
1,224,2595.52
1,225,2595.52
1,226,2595.52
1,227,2595.52
1,228,2595.52
1,229,2595.52
1,230,2595.52
1,231,2595.52
1,232,2595.52
1,233,2595.52
1,234,2595.52
1,235,2595.52
1,236,2595.52
1,237,2595.52
1,238,2595.52
1,239,2595.52
1,240,2595.52
1,241,2595.52
1,242,2595.52
1,243,2595.52
1,244,2595.52
1,245,2595.52
1,246,2595.52
1,247,2595.52
1,248,2595.52
1,249,2595.52
1,250,2595.52
1,251,2595.52
1,252,2595.52
1,253,2595.52
1,254,2595.52
1,255,2595.52
1,256,2595.52
1,257,2595.52
1,258,2595.52
1,259,2595.52
1,260,2595.52
1,261,2595.52
1,262,2595.52
1,263,2595.52
1,264,2595.52
1,265,2595.52
1,266,2595.52
1,267,2595.52
1,268,2595.52
1,269,5945.52
1,270,3224.52
1,271,2157.92
1,272,-2588.08
1,273,-2588.08
1,274,-3214.68
1,275,-3214.68
1,276,-3214.68
1,277,-3214.68
1,278,-3214.68
1,279,-3214.68
1,280,-3214.68
1,281,-3214.68
1,282,-3214.68
1,283,-3214.68
1,284,-3214.68
1,285,-3214.68
1,286,-3214.68
1,287,-3214.68
1,288,-3214.68
1,289,-3214.68
1,290,-3214.68
1,291,-3214.68
1,292,-3214.68
1,293,-3214.68
1,294,-3214.68
1,295,-3214.68
1,296,-3214.68
1,297,-3214.68
1,298,-3214.68
1,299,-3214.68
1,300,-3214.68
