Period,Tick,NLV
1,1,0
1,2,0
1,3,0
1,4,0
1,5,0
1,6,0
1,7,0
1,8,0
1,9,0
1,10,0
1,11,0
1,12,0
1,13,0
1,14,0
1,15,0
1,16,0
1,17,0
1,18,0
1,19,9230
1,20,-9370
1,21,-26138
1,22,-26138
1,23,-26138
1,24,-26138
1,25,-26138
1,26,-26138
1,27,-26138
1,28,-26138
1,29,-26138
1,30,-26138
1,31,-26138
1,32,-26138
1,33,-26138
1,34,-26138
1,35,-26138
1,36,-26138
1,37,-26138
1,38,-26138
1,39,-26138
1,40,-26138
1,41,-26138
1,42,-26138
1,43,-26138
1,44,-26138
1,45,-26138
1,46,-26138
1,47,-26138
1,48,-26138
1,49,-26138
1,50,-26138
1,51,-26138
1,52,-26138
1,53,-26138
1,54,-26138
1,55,-26138
1,56,-26138
1,57,-26138
1,58,-26138
1,59,-26138
1,60,-26138
1,61,-26138
1,62,-26138
1,63,-26138
1,64,-26138
1,65,-26138
1,66,-26138
1,67,-26138
1,68,-26138
1,69,-26138
1,70,-26138
1,71,-26138
1,72,-26138
1,73,-26138
1,74,-26138
1,75,-26138
1,76,-26138
1,77,-26138
1,78,-26138
1,79,-26138
1,80,-26138
1,81,-26138
1,82,-26138
1,83,-26138
1,84,-26138
1,85,-26138
1,86,-26138
1,87,-26138
1,88,-26138
1,89,-26138
1,90,-26138
1,91,-26138
1,92,-26138
1,93,-26138
1,94,-26138
1,95,-26138
1,96,-26138
1,97,-26138
1,98,-26138
1,99,-26138
1,100,-26138
1,101,-26138
1,102,-26138
1,103,-26138
1,104,-26138
1,105,-26138
1,106,-26138
1,107,-26138
1,108,-26138
1,109,-26138
1,110,-26138
1,111,-26138
1,112,-26138
1,113,-26138
1,114,-26138
1,115,-26138
1,116,-26138
1,117,-26138
1,118,-26138
1,119,-26138
1,120,-26138
1,121,-26138
1,122,-26138
1,123,-26138
1,124,-26138
1,125,-26138
1,126,-26138
1,127,-26138
1,128,-26138
1,129,-26138
1,130,-26138
1,131,-26138
1,132,-26138
1,133,-26138
1,134,-26138
1,135,-26138
1,136,-26138
1,137,-26138
1,138,-26138
1,139,-26138
1,140,-26138
1,141,-26138
1,142,-10038
1,143,-22086
1,144,-22086
1,145,-22086
1,146,-22086
1,147,-22086
1,148,-22086
1,149,-22086
1,150,-22086
1,151,-22086
1,152,-22086
1,153,-22086
1,154,-22086
1,155,-22086
1,156,-22086
1,157,-22086
1,158,-22086
1,159,-22086
1,160,-22086
1,161,-22086
1,162,-22086
1,163,-22086
1,164,-22086
1,165,-22086
1,166,-22086
1,167,-22086
1,168,-22086
1,169,-22086
1,170,-22086
1,171,-22086
1,172,-22086
1,173,-22086
1,174,-22086
1,175,-22086
1,176,-22086
1,177,-22086
1,178,-22086
1,179,-22086
1,180,-22086
1,181,-22086
1,182,-22086
1,183,-22086
1,184,-22086
1,185,-22086
1,186,-22086
1,187,-22086
1,188,-22086
1,189,-22086
1,190,-22086
1,191,-22086
1,192,-22086
1,193,-22086
1,194,-22086
1,195,-22086
1,196,-22086
1,197,-22086
1,198,-22086
1,199,-7176
1,200,-16096
1,201,-18388
1,202,-18868
1,203,-18808
1,204,-18788
1,205,-18788
1,206,-18808
1,207,-18808
1,208,-18808
1,209,-18838
1,210,-18838
1,211,-18928
1,212,-18928
1,213,-18948
1,214,-18958
1,215,-19048
1,216,-19048
1,217,-19048
1,218,-19048
1,219,-19128
1,220,-18988
1,221,-19128
1,222,-19128
1,223,-19068
1,224,-19058
1,225,-19058
1,226,-19048
1,227,-19048
1,228,-19048
1,229,-19048
1,230,-19058
1,231,-19058
1,232,-19058
1,233,-19038
1,234,-19068
1,235,-19118
1,236,-19118
1,237,-19118
1,238,-19118
1,239,-19138
1,240,-19138
1,241,-19138
1,242,-19138
1,243,-19148
1,244,-19148
1,245,-19178
1,246,-19178
1,247,-19188
1,248,-19188
1,249,-19188
1,250,-19188
1,251,-19228
1,252,-19228
1,253,-19268
1,254,-19268
1,255,-19268
1,256,-19268
1,257,-19278
1,258,-19278
1,259,-19308
1,260,-19348
1,261,-19348
1,262,-19358
1,263,-19358
1,264,-19358
1,265,-19358
1,266,-19368
1,267,-12108
1,268,-21726
1,269,-22076
1,270,-22076
1,271,-22076
1,272,-22076
1,273,-22076
1,274,-22096
1,275,-22096
1,276,-22096
1,277,-22096
1,278,-22096
1,279,-22096
1,280,-22096
1,281,-22066
1,282,-22066
1,283,-22096
1,284,-22106
1,285,-22126
1,286,-22126
1,287,-22126
1,288,-22126
1,289,-22126
1,290,-22126
1,291,-22126
1,292,-22126
1,293,-22126
1,294,-22126
1,295,-22126
1,296,-22126
1,297,-22126
1,298,-22126
1,299,-22126
1,300,-22126
