Period,Tick,NLV
1,1,0
1,2,0
1,3,0
1,4,0
1,5,0
1,6,0
1,7,0
1,8,0
1,9,0
1,10,0
1,11,0
1,12,0
1,13,0
1,14,0
1,15,0
1,16,0
1,17,0
1,18,0
1,19,0
1,20,0
1,21,0
1,22,0
1,23,0
1,24,0
1,25,18980
1,26,10244
1,27,-22989
1,28,-25229
1,29,-25229
1,30,-25229
1,31,-25229
1,32,-25229
1,33,-25229
1,34,-25229
1,35,-25229
1,36,-25229
1,37,-25229
1,38,-25229
1,39,-25229
1,40,-25229
1,41,-25229
1,42,-25229
1,43,-25229
1,44,-25229
1,45,-25229
1,46,-25229
1,47,-25229
1,48,-25229
1,49,-25229
1,50,-25229
1,51,-25229
1,52,-25229
1,53,-25229
1,54,-25229
1,55,-25229
1,56,-25229
1,57,-25229
1,58,-25229
1,59,-25229
1,60,-25229
1,61,-25229
1,62,-25229
1,63,-25229
1,64,-25229
1,65,-25229
1,66,-25229
1,67,-25229
1,68,-25229
1,69,-25229
1,70,-25229
1,71,-25229
1,72,-25229
1,73,-25229
1,74,-25229
1,75,-25229
1,76,-25229
1,77,-25229
1,78,-25229
1,79,-25229
1,80,-25229
1,81,-25229
1,82,-25229
1,83,-25229
1,84,-25229
1,85,-25229
1,86,-25229
1,87,-25229
1,88,-25229
1,89,-25229
1,90,-25229
1,91,-25229
1,92,-25229
1,93,-25229
1,94,-25229
1,95,-25229
1,96,-25229
1,97,-25229
1,98,-25229
1,99,-25229
1,100,-25229
1,101,-25229
1,102,-25229
1,103,-25229
1,104,-25229
1,105,-25229
1,106,-25229
1,107,-25229
1,108,-25229
1,109,-25229
1,110,-25229
1,111,-25229
1,112,-25229
1,113,-25229
1,114,-25229
1,115,-25229
1,116,-25229
1,117,-25229
1,118,-25229
1,119,-25229
1,120,-25229
1,121,-25229
1,122,-25229
1,123,-25229
1,124,-25229
1,125,-25229
1,126,-25229
1,127,-25229
1,128,-25229
1,129,-25229
1,130,-25229
1,131,-25229
1,132,-25229
1,133,-25229
1,134,-25229
1,135,-25229
1,136,-25229
1,137,-25229
1,138,-25229
1,139,-25229
1,140,-25229
1,141,-25229
1,142,-11229
1,143,-16415
1,144,-16415
1,145,-16415
1,146,-16415
1,147,-16415
1,148,-16415
1,149,-16415
1,150,-16415
1,151,-16415
1,152,-16415
1,153,-16415
1,154,-16415
1,155,-16415
1,156,-16415
1,157,-16415
1,158,-16415
1,159,-16415
1,160,-16415
1,161,-16415
1,162,-16415
1,163,-16415
1,164,-16415
1,165,-16415
1,166,-16415
1,167,-16415
1,168,-16415
1,169,-16415
1,170,-16415
1,171,-16415
1,172,-16415
1,173,-16415
1,174,-16415
1,175,-16415
1,176,-16415
1,177,-16415
1,178,-16415
1,179,-16415
1,180,-16415
1,181,-16415
1,182,-16415
1,183,-16415
1,184,-16415
1,185,-16415
1,186,-16415
1,187,-16415
1,188,-16415
1,189,-16415
1,190,-16415
1,191,-16415
1,192,-16415
1,193,-16415
1,194,-16415
1,195,-16415
1,196,-16415
1,197,-16415
1,198,-16415
1,199,-16415
1,200,-16415
1,201,-16415
1,202,-16415
1,203,-16415
1,204,-16415
1,205,-16415
1,206,-16415
1,207,-16415
1,208,-16415
1,209,-16415
1,210,-16415
1,211,-16415
1,212,-16415
1,213,-16415
1,214,-16415
1,215,-16415
1,216,-16415
1,217,-16415
1,218,-16415
1,219,-16415
1,220,-16415
1,221,-16415
1,222,-16415
1,223,-16415
1,224,-16415
1,225,-16415
1,226,-16415
1,227,-16415
1,228,-16415
1,229,-16415
1,230,-16415
1,231,-16415
1,232,-16415
1,233,-16415
1,234,-16415
1,235,-16415
1,236,-16415
1,237,-16415
1,238,-16415
1,239,-16415
1,240,-16415
1,241,-16415
1,242,-16415
1,243,-16415
1,244,-16415
1,245,-16415
1,246,-16415
1,247,-16415
1,248,-16415
1,249,-16415
1,250,-16415
1,251,-16415
1,252,-16415
1,253,-16415
1,254,-16415
1,255,-16415
1,256,-16415
1,257,-16415
1,258,-16415
1,259,-16415
1,260,-1235
1,261,-4259
1,262,-7677
1,263,-9901
1,264,-9901
1,265,-9901
1,266,-9901
1,267,-9901
1,268,-9901
1,269,-9901
1,270,-9901
1,271,-9901
1,272,-9901
1,273,-9901
1,274,-9901
1,275,-9901
1,276,-9901
1,277,-9901
1,278,-9901
1,279,-9901
1,280,-9901
1,281,-9901
1,282,-9901
1,283,-9901
1,284,-9901
1,285,-9901
1,286,-9901
1,287,-9901
1,288,-9901
1,289,-9901
1,290,-9901
1,291,-9901
1,292,-9901
1,293,-9901
1,294,-9901
1,295,-9901
1,296,-9901
1,297,-9901
1,298,-9901
1,299,-9901
1,300,-9901
