Period,Tick,NLV
1,1,0
1,2,0
1,3,0
1,4,0
1,5,0
1,6,0
1,7,0
1,8,0
1,9,0
1,10,0
1,11,0
1,12,0
1,13,0
1,14,0
1,15,0
1,16,0
1,17,0
1,18,0
1,19,0
1,20,0
1,21,17500
1,22,15461
1,23,11206
1,24,11206
1,25,11206
1,26,11206
1,27,11206
1,28,11206
1,29,11206
1,30,11206
1,31,11206
1,32,11206
1,33,11206
1,34,11206
1,35,11206
1,36,11206
1,37,11206
1,38,11206
1,39,11206
1,40,11206
1,41,11206
1,42,11206
1,43,11206
1,44,11206
1,45,11206
1,46,11206
1,47,11206
1,48,11206
1,49,11206
1,50,11206
1,51,11206
1,52,11206
1,53,11206
1,54,11206
1,55,11206
1,56,11206
1,57,11206
1,58,11206
1,59,11206
1,60,11206
1,61,11206
1,62,11206
1,63,11206
1,64,11206
1,65,11206
1,66,11206
1,67,11206
1,68,11206
1,69,11206
1,70,11206
1,71,11206
1,72,11206
1,73,11206
1,74,11206
1,75,11206
1,76,11206
1,77,11206
1,78,11206
1,79,11206
1,80,11206
1,81,11206
1,82,11206
1,83,11206
1,84,11206
1,85,11206
1,86,20696
1,87,-3101
1,88,-26560
1,89,-25467
1,90,-25467
1,91,-25467
1,92,-25467
1,93,-25467
1,94,-25467
1,95,-25467
1,96,-25467
1,97,-25467
1,98,-25467
1,99,-25467
1,100,-25467
1,101,-25467
1,102,-25467
1,103,-25467
1,104,-25467
1,105,-25467
1,106,-25467
1,107,-25467
1,108,-25467
1,109,-25467
1,110,-25467
1,111,-25467
1,112,-25467
1,113,-25467
1,114,-25467
1,115,-25467
1,116,-25467
1,117,-25467
1,118,-25467
1,119,-25467
1,120,-25467
1,121,-25467
1,122,-25467
1,123,-25467
1,124,-25467
1,125,-25467
1,126,-25467
1,127,-25467
1,128,-25467
1,129,-25467
1,130,-25467
1,131,-25467
1,132,-25467
1,133,-25467
1,134,-25467
1,135,-25467
1,136,-25467
1,137,-25467
1,138,-25467
1,139,-25467
1,140,-25467
1,141,-25467
1,142,-25467
1,143,-25467
1,144,-25467
1,145,-25467
1,146,-25467
1,147,-25467
1,148,-13057
1,149,-18765
1,150,-33892
1,151,-33892
1,152,-33892
1,153,-33892
1,154,-33892
1,155,-33892
1,156,-33892
1,157,-33892
1,158,-33892
1,159,-33892
1,160,-33892
1,161,-33892
1,162,-33892
1,163,-33892
1,164,-33892
1,165,-33892
1,166,-33892
1,167,-33892
1,168,-33892
1,169,-33892
1,170,-33892
1,171,-33892
1,172,-33892
1,173,-33892
1,174,-33892
1,175,-33892
1,176,-33892
1,177,-33892
1,178,-33892
1,179,-33892
1,180,-33892
1,181,-33892
1,182,-33892
1,183,-33892
1,184,-33892
1,185,-33892
1,186,-33892
1,187,-33892
1,188,-33892
1,189,-33892
1,190,-33892
1,191,-33892
1,192,-33892
1,193,-33892
1,194,-33892
1,195,-33892
1,196,-33892
1,197,-33892
1,198,-33892
1,199,-33892
1,200,-33892
1,201,-33892
1,202,-33892
1,203,-18052
1,204,-25274
1,205,-26469
1,206,-32480
1,207,-32480
1,208,-32480
1,209,-32480
1,210,-32480
1,211,-32480
1,212,-32480
1,213,-32480
1,214,-32480
1,215,-32480
1,216,-32480
1,217,-32480
1,218,-32480
1,219,-32480
1,220,-32480
1,221,-32480
1,222,-32480
1,223,-32480
1,224,-32480
1,225,-32480
1,226,-32480
1,227,-32480
1,228,-32480
1,229,-32480
1,230,-32480
1,231,-32480
1,232,-32480
1,233,-32480
1,234,-32480
1,235,-32480
1,236,-32480
1,237,-32480
1,238,-32480
1,239,-32480
1,240,-32480
1,241,-32480
1,242,-32480
1,243,-32480
1,244,-32480
1,245,-32480
1,246,-32480
1,247,-32480
1,248,-32480
1,249,-32480
1,250,-32480
1,251,-32480
1,252,-32480
1,253,-32480
1,254,-32480
1,255,-32480
1,256,-32480
1,257,-32480
1,258,-32480
1,259,-32480
1,260,-32480
1,261,-32480
1,262,-32480
1,263,-32480
1,264,-32480
1,265,-32480
1,266,-32480
1,267,-32480
1,268,-32480
1,269,-32480
1,270,-32480
1,271,-32480
1,272,-32480
1,273,-32480
1,274,-32480
1,275,-32480
1,276,-32480
1,277,-32480
1,278,-32480
1,279,-32480
1,280,-32480
1,281,-32480
1,282,-32480
1,283,-32480
1,284,-32480
1,285,-32480
1,286,-32480
1,287,-32480
1,288,-32480
1,289,-32480
1,290,-32480
1,291,-32480
1,292,-32480
1,293,-32480
1,294,-32480
1,295,-32480
1,296,-32480
1,297,-32480
1,298,-32480
1,299,-32480
1,300,-32480
